LGA,Postcodes
Banyule,3073 3081 3084 3085 3087 3093 3094
Bayside,3186 3187 3190 3191 3192 3204
Boroondara,3101 3102 3103 3104 3105 3106 3122 3123 3124 3126 3127 3128 3129
Brimbank,3011 3012 3020 3021 3033 3036 3037 3042
Cardinia,3810 3812 3813 3815 3816 3981
Casey,3805 3806 3807 3977 3980
Darebin,3070 3071 3072 3073 3078 3083
Frankston,3199 3200 3201
Glen Eira,3161 3162 3163 3165 3185 3204
Greater Dandenong,3171 3173 3174 3175 3802 3976
Hobsons Bay,3012 3015 3016 3025 3028
Hume,3047 3048 3049 3059 3061 3062 3063 3064
Kingston,3165 3187 3192 3193 3194 3195 3196 3197 3201
Knox,3152 3153 3155 3156 3178 3180
Manningham,3105 3106 3107 3108 3109 3111
Maribyrnong,3011 3012 3013 3019
Maroondah,3134 3135 3136 3137 3153 3155 3156
Melbourne,3000 3002 3003 3004 3006 3008 3051
Merri-Bek,3055 3056 3057 3058 3059 3060 3061
Monash,3149 3150 3166 3167 3168 3169
Moonee Valley,3031 3032 3040 3041 3042 3043 3044
Mornington Peninsula,3910 3911 3912 3915 3916 3918 3925 3926 3927 3930 3931 3933 3934
Nillumbik,3091 3094 3095 3096 3097 3099
Port Phillip,3004 3181 3182 3183 3205 3206 3207
Stonnington,3141 3142 3143 3144 3181 3182
Whitehorse,3128 3130 3131 3151
Whittlesea,3074 3075 3076 3750 3752 3754 3757
Yarra Ranges,3139 3140 3765 3766 3767 3770 3775 3781 3782 3783 3785 3786 3787
Yarra, 3121 3067 3065 3066 3068
