name,latitude,longitude
Collingwood Automotive Repairs,-37.80643422775356,144.9907129913015
Inner City Metals,-37.80972687767725,144.99831506431485
Yarra Council Recycling Drop-off Centre,-37.79338798544728,145.0021128139402
Moonee Valley Transfer Station,-37.764274022859055,144.90203102318424
"Moonee Valley City Council, Transfer Station",-37.76428250440058,144.90203102318424
M G Auto Electrics,-37.76297804673205,145.00004719619795
Gold Car Removals,-37.779683875468926,144.86538208270576
Stonnington Waste Transfer Station,-37.84855985035848,145.04331186366812
Sims Metal - Brooklyn,-37.809844298485245,144.84815285202245
Quick car removals,-37.85320400285581,144.85316188086028
Coburg Transfer Station,-37.7234870634537,144.97579280270332
Platinum Recycling,-37.72241537807928,144.88806809804512
SRS Recycling Pty Ltd,-37.69126246286899,144.9800291808515
Southern Cross Metal Recyclers,-37.82955780519961,144.79638216312034
Lenny's Service Centre,-37.81324067418398,145.1388494692145
Sims Metal - Broadmeadows,-37.65995262659108,144.9544252943429
Toyrolla Spares Cash for Cars Removal,-37.6495473213102,145.02049572502733
Monash Waste Transfer and Recycling Station,-37.9012191664178,145.14048043853438
Cash for Cars 247,-37.8622812292358,144.73554312857942
Battery World,-37.86967988271682,144.73276848908168
Battery World,-37.97595918513733,145.06876326552478
Whitehorse Recycling & Waste Centre,-37.85856396996896,145.19793164775874
Nillumbik Recycling Centre,-37.65485932538407,145.12632014221967
Quick Drive Auto,-37.81420442848784,145.2208462176488
Knox Transfer Station,-37.88292020403463,145.2128912986008
Hanson Wollert Landfill,-37.59111435172562,145.04722105016089
SPC Ecycle,-38.00279171932283,145.1102425538826
Sims Metal - Noble Park,-37.95809667193343,145.18559553483857
Cash For Cars Werribee,-37.91255168121682,144.6606470657169
Ozewaste Recycling,-37.99351007873183,145.19374539621077
Battery World,-38.00086019398145,145.21837999436164
Melton Recycling Facility,-37.70093589618743,144.60797843852328
Rapid Car Removal,-38.02273215837872,145.2092225655273
Melbourne VIP Cash For Cars,-38.00039776679175,145.23591671155376
Vic Recyclers,-38.02313690602705,145.2112347925135
Odin E-Waste,-38.104718452063786,145.16513364039508
Hampton Park Outlook Transfer Station,-38.05395872999248,145.2671844803249
Coldstream Recycling & Waste Transfer Station,-37.73935325537282,145.39533696496486
Frankston Regional Recycling and Recovery Centre,-38.12298769517973,145.21797010916444
Mornington Resource Recovery Centre,-38.23572043805006,145.06532798088182
